序号	英文	释义
39	grope	暗中摸索，搜索；探索，搜寻 (vi.)
40	rejoice	感到高兴， 充满喜悦 (vi.)
41	frantic	慌乱不安的； 发疯似的， 发狂的 (adj.)
42	tickle	发痒 (vi.)
43	object	反对， 不赞成 (vi.)
44	humble	谦逊的；地位低下的；简陋的 (adj.)
45	commodity	商品， 货物 (n.)
46	cliff	悬崖， 峭壁 (n.)
47	obedient	服从的， 顺从的 (adj.)
48	infinite	无限的， 无数的 (adj.)
49	misery	痛苦， 苦恼， 苦难； 悲惨的境遇， 贫苦 (n.)
50	blur	变模糊 (v.)
51	suffice	足够 (vi.)
52	concede	让步， 认输 (vi.)
53	notable	值得注意的，显著的；著名的 (adj.)
54	plausible	似有道理的， 似乎正确的， 貌似可信的 (adj.)
55	equator	赤道 (n.)
56	commission	委任状；委员会；佣金，回扣；授权，委托 (n.)
57	staircase	楼梯 (n.)
58	flip	〈口〉无理的， 轻率的， 轻浮的 (adj.)
59	rational	理性的， 理智的； 合理的 (adj.)
60	barricade	路障，栅栏，障碍 (n.)
61	resume	重新开始， 继续， 恢复 (vt.)
62	provocative	挑衅的， 煽动的， 刺激的； 挑逗的 (adj.)
63	committee	委员会， 全体委员 (n.)
64	posture	摆出姿势， 装模作样 (vi.)
65	spiral	盘旋上升； 不断急剧地上升 (vi.)
66	subtle	微妙的， 难以捉摸的； 诡秘的， 狡诈的； 隐约的 (adj.)
67	component	组成的， 构成的 (adj.)
68	overwhelm	使受不了， 使不知所措； 征服， 制服 (vt.)
69	suite	套间； 一套家具； 套， 组， 系列 (n.)
70	consultant	顾问； 会诊医师， 专科医生 (n.)
71	disguise	假扮，化装，伪装；掩盖，掩饰 (vt.)
72	imperial	帝国的， 帝王的； 英制的 (adj.)
73	facet	一个方面； 面 (n.)
74	liberal	心胸宽大的， 慷慨的； 自由的， 自由主义的 (adj.)
75	surgery	外科， 外科手术； 手术室 (n.)
76	harmony	调和； 协调； 和谐 (n.)
77	violent	暴力引起的， 强暴的； 猛烈的， 剧烈的 (adj.)
78	resolve	决定；解决；分解 (v.)
79	cozy	舒适的； 亲切友好的 (adj.)
80	confront	迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证 (vt.)
81	dominate	在…中占首要地位； 支配， 统治； 耸立于， 俯视； 拥有优势 (v.)
82	imitate	模仿； 仿效； 仿制 (vt.)
83	deadly	非常， 极度地 (adv.)
84	compute	计算， 估算 (v.)
85	institution	协会； 制度； 习俗 (n.)
86	huddle	聚集在一起，挤作一团；把身子蜷成一团，蜷缩 (vi.)
87	skeleton	骨骼； 框架， 骨干； 梗概， 提要 (n.)
88	ambition	雄心， 抱负， 野心； 期望得到的东西 (n.)
89	intersection	道路交叉口， 交点 (n.)
90	exceed	超过， 胜过， 超出 (vt.)
91	implement	使生效， 履行， 实施 (vt.)
92	disperse	分散， 赶散； 消散， 驱散 (vi.)
93	avert	防止， 避免； 转移 (vt.)
94	fantasy	想象， 幻想； 想象的产物 (n.)
95	shipment	装运， 装船； 装载的货物 (n.)
96	vicious	恶毒的， 凶残的； 剧烈的， 严重的 (adj.)
97	lace	网眼花边，透孔织品；鞋带，系带 (n.)
98	enormous	巨大的， 庞大的 (adj.)
99	external	外部的， 外面的 (adj.)
100	gorgeous	华丽的， 灿烂的， 绚丽的； 令人十分愉快的， 极好的 (adj.)
101	circumstance	情况，条件，境遇； (n.)
102	authority	官方； 权力； 当权者， 行政管理机构； 权威， 专家 (n.)
103	erosion	腐蚀， 侵蚀， 磨损； 削弱， 减少 (n.)
104	ascend	渐渐上升，升高 (vi.)
105	provided	假如， 若是 (conj.)
106	instrument	仪器， 工具； 乐器 (n.)
107	medium	中等的 (adj.)
108	indispensable	必不可少的， 必需的 (adj.)
109	lens	透镜， 镜片； 镜头 (n.)
110	embody	代表， 表现， 体现； 包括； 包含； 收录 (vt.)
111	fatal	致命的， 灾难性的， 毁灭性的； 重大的， 决定性的 (adj.)
112	motive	动机， 目的 (n.)
113	envisage	想象， 设想 (vt.)
114	wrestle	摔跤； 斗争， 搏斗 (n.)
115	motivate	作为…的动机； 激励， 激发 (vt.)
116	marginal	微小的， 少量的； 不重要的； 仅以微弱多数票获胜的； 记在页边的， 有旁注的 (adj.)
117	spoil	变质 (vi.)
118	multiply	增加， 繁殖； 乘 (v.)
119	pasture	牧草地，牧场 (n.)
120	approval	赞成， 同意； 认可， 批准 (n.)
121	mobile	运动的；流动的；多变的 (adj.)
122	multiple	复合的；多重的，多样的 (adj.)
123	evolution	进化， 演化； 发展 (n.)
124	peak	达到高峰； 达到最大值 (vi.)
125	magnet	磁铁， 磁体； 有吸引力的人和事物 (n.)
126	concentrate	全神贯注，全力以赴；集中，聚集；浓缩 (v.)
127	expose	使暴露， 揭露 (vt.)
128	versatile	多才多艺的， 有多种技能的； 有多种用途的， 多功能的， 万用的 (adj.)
129	versus	以…为对手， 对； 与…相对， 与…相比之下 (prep.)
130	complaint	抱怨， 怨言； 控告 (n.)
131	permissible	可允许的， 许可的 (adj.)
132	cancer	癌， 癌症， 肿瘤 (n.)
133	splash	溅，泼 (v.)
134	inject	注射， 给…注射； 注入， 引入， 投入 (vt.)
135	romance	恋爱， 恋爱关系； 浪漫气氛， 传奇色彩； 爱情小说， 传奇故事 (n.)
136	offense	犯规， 违法行为； 冒犯， 得罪 (n.)
137	atlas	地图集 (n.)
138	invisible	看不见的， 无形的 (adj.)
139	focus	聚焦；集中 (v.)
140	hamper	妨碍，束缚，限制 (vt.)
141	motel	汽车旅馆 (n.)
142	approach	向…靠近 (vt.)
143	exaggeration	夸张； 夸大之词 (n.)
144	peg	小钉，栓，挂物钉；桩 (n.)
145	myth	杜撰出来的人； 神话 (n.)
146	decisive	决定性的； 坚定的， 果断的， 决断的 (adj.)
147	concise	简明的， 简要的 (adj.)
148	implication	含意， 暗示， 暗指； 卷入， 牵连 (n.)
149	thesis	论文， 毕业论文； 论题， 论点 (n.)
150	bump	碰，撞； (vi.)
151	reservation	预订； 保留； 犹豫； 居留地 (n.)
152	revive	复苏 (v.)
153	cordial	热情友好的， 热诚的 (adj.)
154	timid	羞怯的， 胆小的 (adj.)
155	loyalty	忠诚， 忠心 (n.)
156	dismiss	不再考虑； 解雇， 解散； 驳回 (vt.)
157	underlying	在下面的； 含蓄的； 潜在的 (adj.)
158	reform	改革， 改良， 改造； 改正， 改过自新 (n&v.)
159	install	安装， 设置； 使就职， 任命 (vt.)
160	ensue	接着发生， 接踵而来， 因而产生 (vi.)
161	indication	指出， 指示； 迹象， 暗示 (n.)
162	bulk	变得越来越大； 使更大 (v.)
163	bull	公牛； 雄兽； 买进证券投机图利者， 看涨的人 (n.)
164	champion	冠军， 得胜者； 捍卫者， 拥护者 (n.)
165	ceramic	陶器的 (adj.)
166	queer	奇怪的， 异常的； 不舒服的， 眩晕的 (adj.)
167	successor	接替的人或事物， 继任者 (n.)
168	enlightenment	启发， 开导； 开明， 文明 (n.)
169	booklet	小册子 (n.)
170	magnificent	壮丽的， 华丽的； 极好的 (adj.)
171	stagger	摇晃，蹒跚 (vi.)
172	irony	反话， 冷嘲， 嘲弄； 具有讽刺意味的事 (n.)
173	restrict	限制， 约束， 限定 (vt.)
174	bandage	绷带 (n.)
175	prevalence	流行 (n.)
176	scrap	碎片，碎屑；废金属；残羹剩饭；少量，点滴 (n.)
177	syndrome	综合病症， 综合症状； 一系列表现 (n.)
178	tow	拖， 拉， 牵引 (n&vt.)
179	imperative	必要的；紧急的，极重要的；命令的 (adj.)
180	meadow	草地 (n.)
181	hitherto	到目前为止， 迄今 (adv.)
182	energetic	精力充沛的， 充满活力的 (adj.)
183	haul	拖，拉；拖运，运送 (vt.)
184	avail	有帮助； 有益； 有用 (v.)
185	consequence	结果， 后果； 重要， 重大 (n.)
186	linear	线的， 直线的， 线状的； 长度的； 线性的 (adj.)
187	robust	强壮的， 健康的 (adj.)
188	dominant	占优势的， 支配的， 统治的； 居高临下的， 高耸的 (adj.)
189	premier	首要的， 首位的， 首次的 (adj.)
190	peel	剥落，脱皮 (vi.)
191	intellectual	智力的 (adj.)
192	reclaim	要回； 开垦； 回收 (vt.)
193	denounce	谴责， 指责； 告发 (vt.)
194	verge	接近， 濒临 (vi.)
195	pastry	油酥面团， 酥皮糕点 (n.)
196	messenger	送信人， 信使 (n.)
197	disable	丧失能力， 伤残 (vt.)
198	irrespective	不考虑的， 不顾及的 (adj.)
199	entity	实体， 独立存在体， 实际存在物 (n.)
200	prohibit	禁止， 不准 (vt.)
201	bacteria	细菌 (n.)
202	fuel	燃料，燃料剂 (n.)
203	hostile	敌方的， 不友善的 (adj.)
204	reign	当政， 统治； 占主导地位 (vi.)
205	tempo	速度； 节奏， 行进速度 (n.)
206	descendant	后裔， 后代 (n.)
207	foresee	预见， 预知 (vt.)
208	bruise	青肿，挫伤；伤痕，擦痕 (n.)
209	associate	把…联系在一起；使联合，结合；交往 [?'s?u?i?t] (v.)
210	gown	女礼服， 女裙服； 长袍； 罩衣 (n.)
211	crawl	爬行， 蠕动； 缓慢行进 (n&v.)
212	identical	完全相同的， 同一的 (adj.)
213	plead	恳求，请求；申诉，答辩，辩护 (vi.)
214	kidney	肾， 肾脏 (n.)
215	gleam	闪亮， 闪烁； 闪现， 流露 (n&vi.)
216	ambitious	有抱负的， 雄心勃勃的； 有野心的 (adj.)
217	academic	学院的；学术的；纯理论的，不切实际的 (adj.)
218	function	工作， 运行； 起作用 (vi.)
219	stock	储备 (v.)
220	sneak	偷偷地走，溜 (vi.)
221	void	无效的；没有的，缺乏的 (adj.)
222	comparison	比较， 对照； 比拟， 比喻 (n.)
223	surge	蜂拥而出；洋溢，奔放；汹涌，奔腾 (vi.)
224	swap	交换 (n&v.)
225	ritual	作为仪式一部分的； 例行的 (adj.)
226	liability	责任； 负债， 债务； 不利条件， 起妨碍作用的人 (n.)
227	hatch	孵出；筹划， (vt.)
228	patriot	爱国者， 爱国主义者 (n.)
229	tick	发出滴答声 (vi.)
230	basis	基础， 根据； 原则 (n.)
231	tutor	当…导师， 当…家庭教师 (v.)
232	senator	参议员 (n.)
233	successive	连续的， 接连的 (adj.)
234	quantify	确定…的数量， 量化 (vt.)
235	reconcile	使协调； 使和解； 使顺从， 使甘心 (vt.)
236	tempt	吸引， 引起…的兴趣； 引诱， 诱惑 (vt.)
237	obligation	义务， 责任 (n.)
238	paperback	平装本， 简装本 (n.)
239	evil	坏的 (adj.)
240	rarely	不常， 难得 (adv.)
241	hawk	鹰，隼；“鹰派”人物 (n.)
242	twist	缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 (v.)
243	forthcoming	即将到来的； 可得到的； 乐于提供消息的 (adj.)
244	patriotic	爱国的， 有爱国心的， 显示爱国精神的 (adj.)
245	complication	困难， 难题； 并发症 (n.)
246	perplex	使困惑， 使费解； 使复杂化 (vt.)
247	combat	战争，斗争，格斗 (n.)
248	despise	鄙视， 看不起 (vt.)
249	levy	征收 (vt.)
250	indulge	沉溺， 纵容自己， 肆意从事 (vi.)
251	intimidate	恐吓， 威胁 (vt.)
252	effective	有效的； 有影响的 (adj.)
253	unity	单一， 统一， 团结； 和睦， 协调 (n.)
254	pursue	继续， 从事； 追赶， 追踪； 追求 (vt.)
255	vulgar	粗野的， 下流的； 庸俗的， 粗俗的 (adj.)
256	catastrophe	大灾难， 灾祸 (n.)
257	convey	表达； 传递； 运送， 输送 (vt.)
258	design	设计；预定，指定 (vt.)
259	generous	慷慨的， 宽厚的； 大量的 (adj.)
260	coincidence	巧合， 巧事； 一致， 符合 (n.)
261	victim	牺牲者； 受害者 (n.)
262	bust	爆裂，坏掉 (vi.)
263	skull	颅骨， 脑壳 (n.)
264	hysterical	情绪异常激动的， 歇斯底里般的 (adj.)
265	lane	小路， 跑道； 航道， 航线 (n.)
266	contaminate	弄脏， 污染 (vt.)
267	ammunition	弹药， 军火 (n.)
268	chief	主要的，为首的；总的 (adj.)
269	accord	相符合， 相一致， 相和谐； 授予， 赠与， 给予 (v.)
270	foremost	最好的， 最著名的， 最重要的 (adj.)
271	automatic	自动的； 必然发生的； 无意识的 (adj.)
272	despite	不管， 不顾 (prep.)
273	consecutive	连续的， 连贯的 (adj.)
274	probe	探索，查究，调查；用探针探查，探测 (v.)
275	assimilation	同化， 同化作用； 消化 (n.)
276	groan	呻吟，抱怨；发出呻吟般的声音 (vi.)
277	industrial	工业的， 产业的 (adj.)
278	conduct	举止，行为；指导；管理，实施 [k?n'd?kt] (n.)
279	velvet	天鹅绒， 丝绒 (n.)
280	quantitative	量的， 定量的 (adj.)
281	stable	稳定的，不变的；沉稳的，持重的 (adj.)
282	reunion	重聚， 团聚； 聚会， 联谊活动 (n.)
283	fantastic	极好的， 极出色的； 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的 (adj.)
284	drainage	排水系统， 下水道； 排水， 放水 (n.)
285	respond	回答， 答复； 作出反应， 响应 (vi.)
286	incident	发生的事， 事件 (n.)
287	lame	跛的， 瘸的； 站不住脚的， 差劲的； 蹩脚的 (adj.)
288	tub	桶， 塑料杯， 纸杯； 盆， 洗澡盆， 浴缸 (n.)
289	cluster	群集，丛生 (vi.)
290	prey	捕食； 折磨， 使烦恼 (vi.)
291	apparatus	器械， 器具， 仪器； 机构， 组织 (n.)
292	lieutenant	陆军中尉； 海军上尉 (n.)
293	tug	用力拖 (v.)
294	expedition	旅行， 远征； 远征队， 探险队， 考察队； 迅速， 动作敏捷 (n.)
295	decay	腐烂，衰败 (vi.)
296	grieve	感到悲痛，伤心 (vi.)
297	absorb	吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化 (vt.)
298	concern	关切的事，有关的事；关心，挂念；关系，关联；公司，企业 (n.)
299	fracture	断裂，折断 (v.)
300	rectify	纠正， 修复 (vt.)
301	integrity	正直， 诚实， 诚恳； 完整， 完全， 完善 (n.)
302	refrain	抑制，克制，戒除 (vi.)
303	pact	契约， 协定， 条约 (n.)
304	notation	记号， 标记法 (n.)
305	merge	结合， 合并， 合为一体 (v.)
306	liable	易于…的， 可能的 (adj.)
307	recycle	回收利用 (vt.)
308	dock	靠码头， 进港 (vi.)
309	marsh	沼泽， 湿地 (n.)
310	element	成分， 要素， 元素； 基础， 纲要； 自然力 (n.)
311	confidential	秘密的， 机密的； 表示信任的； 担任机密工作的 (adj.)
312	abundant	丰富的， 富裕的； 大量的， 充足的 (adj.)
313	exclaim	呼喊， 惊叫 (vi.)
314	ballet	芭蕾舞， 芭蕾舞剧； 芭蕾舞团 (n.)
315	mute	缄默的，无声的；哑的，不会说话的；不发音的 (adj.)
316	courtesy	谦恭有礼； 有礼貌的举止 (n.)
317	deteriorate	恶化， 变坏 (vi.)
318	warehouse	仓库， 货栈 (n.)
319	recognize	认出， 识别； 承认， 确认， 认可； 赏识， 表彰， 报偿 (vt.)
320	restraint	抑制， 限制， 克制； 约束措施， 约束条件 (n.)
321	pollutant	污染物质 (n.)
322	bamboo	竹， 竹子 (n.)
323	input	输入；投入的资金，输入的数据 (n.)
324	induce	引导， 劝； 引起， 导致 (vt.)
325	abnormal	反常的， 异常的 (adj.)
326	shrewd	机灵的， 敏锐的， 精明的 (adj.)
327	stereotype	陈规，老套，固定的模式 (n.)
328	molecule	分子 (n.)
329	enroll	入学，加入 (vi.)
330	resign	辞职；听任 (vi.)
331	safeguard	保护，维护 (vt.)
332	diligent	勤勉的， 勤奋的 (adj.)
333	sophisticated	老于世故的； 高级的； 精密的， 复杂的； 高雅的 (adj.)
334	entertainment	娱乐， 文娱节目， 表演会； 招待， 款待， 请客 (n.)
335	reside	居住， 定居； 存在， 在于 (vi.)
336	indicative	标示的，指示的，象征的；陈述的 (adj.)
337	ward	病房； 区； 受监护人 (n.)
338	dread	担忧，忧虑；惧怕 (vt.)
339	scrutiny	详细检查， 仔细观察 (n.)
340	chase	追逐， 追赶， 追求 (n&vt.)
341	accident	意外， 事故 (n.)
342	promote	促进， 增进， 发扬； 提升； 宣传， 推销 (vt.)
343	routine	例行的， 常规的 (adj.)
344	attack	攻击， 进攻； 突然发作 (n&vt.)
345	divorce	离婚，离异 (n.)
346	tariff	关税， 税率； 价目表， 收费表 (n.)
347	attach	缚， 系， 贴， 附加； 使依恋， 使喜爱； 使附属； 认为有 (vt.)
348	graphic	生动的， 形象的； 绘画的， 文字的， 图表的 (adj.)
349	convict	证明…有罪，宣判…有罪['k?nv?kt] (vt.)
350	retention	保留， 保持 (n.)
351	creation	创造， 创建； 创造的作品， 产物； 宇宙， 天地万物 (n.)
352	legislation	法律， 法规； 立法， 法律的制定 (n.)
353	dodge	闪身躲开 (vi.)
354	ingredient	组成部分， 原料； 要素 (n.)
355	surplus	过剩的， 多余的 (adj.)
356	consolidate	巩固， 加强； 联为一体， 合并 (v.)
357	correspondence	信件， 函件； 通信， 通信联系； 符合， 一致， 相似 (n.)
358	inhibit	阻止， 妨碍， 抑制 (vt.)
359	refresh	振作精神， 恢复活力 (v.)
360	intimate	亲密的，个人的 (adj.)
361	shove	用力推，挤 (vi.)
362	theft	偷窃， 失窃 (n.)
363	disclose	揭露， 泄露， 透露 (vt.)
364	religion	宗教， 宗教信仰 (n.)
365	yacht	快艇， 帆船， 游艇 (n.)
366	mistress	情妇； 主妇， 女主人 (n.)
367	oxide	氧化物 (n.)
368	miniature	小型的，微小的 (adj.)
369	clan	宗族， 家族 (n.)
370	economical	节约的； 经济学的 (adj.)
371	prosperous	繁荣的， 兴旺的 (adj.)
372	polish	磨光；修改，润色，使优美 (vt.)
373	reassess	再评价 (vt.)
374	cabinet	橱， 柜； 内阁 (n.)
375	optical	眼的， 视觉的； 光学的 (adj.)
376	evoke	唤起， 引起， 使人想起 (vt.)
377	insurance	保险； 保险费 (n.)
378	dazzle	使眩目，耀；使赞叹不已；使倾倒 (vt.)
379	principle	原则， 原理， 道义； 基本信念， 信条 (n.)
380	thigh	大腿 (n.)
381	tedious	冗长乏味的， 沉闷的 (adj.)
382	tilt	倾斜，倾侧 (v.)
383	inferiority	自卑； 次等 (n.)
384	participant	参加者， 参与者 (n.)
385	initiate	开始， 创造， 发起； 使初步了解； 接纳， 让…加入 (vt.)
386	domestic	本国的； 家庭的； 驯养的 (adj.)
387	glare	怒目而视；发射强光，发出刺眼的光线 (vi.)
388	irrigation	灌溉 (n.)
389	compile	汇编； 编制， 编纂 (vt.)
390	vitality	活力； 生机， 元气 (n.)
391	locomotive	机车 (n.)
392	tile	瓦，瓷砖 (n.)
393	donation	捐款， 捐赠物； 捐赠， 赠送 (n.)
394	immense	广大的， 巨大的； 无限的 (adj.)
395	inherent	内在的； 固有的， 生来就有的 (adj.)
396	stability	稳定， 稳固 (n.)
397	budget	规划，安排；编预算 (v.)
398	radiate	发出， 辐射； 流露， 显示 (v.)
399	given	规定的，特定的；假设的，已知的；有癖好的，有倾向的 (adj.)
400	perish	丧生， 毁灭， 消亡； 失去弹性， 老化 (vi.)
401	pastime	消遣， 娱乐 (n.)
402	ultimate	最后的，最终的 (adj.)
403	adapt	使适应； 改编 (vt.)
404	prosecute	起诉， 告发 (vi.)
405	batch	一批， 一组， 一群； 一批生产量 (n.)
406	merit	长处，优点；价值；功劳，成绩 (n.)
407	verbal	口头的； 用言辞的， 用文字的； 动词的 (adj.)
408	solicitor	初级律师， 事务律师 (n.)
409	intrinsic	固有的； 本质的； 内在的 (adj.)
410	proximity	接近， 邻近 (n.)
411	luminous	发光的， 发亮的； 光明的 (adj.)
412	lash	将系牢；鞭打，抽打；猛烈打击；猛烈抨击，严厉斥责 (v.)
413	receipt	发票， 收据； 收入， 进款； 收到， 接到 (n.)
414	assume	假定， 假设； 臆断； 承担， 担任； 呈现 (vt.)
415	predestine	预先确定； 注定 (vt.)
416	chant	反复有节奏地喊叫；吟诵，咏唱 (vt.)
417	destiny	命运； 定数， 天命 (n.)
418	capsule	胶囊； 航天舱， 密封舱 (n.)
419	concept	概念， 观念； 设想 (n.)
420	resistant	抵抗的； 抗…的， 耐…的 (adj.)
421	ozone	臭氧 (n.)
422	indefinite	无限期的； 模糊的， 不确定的 (adj.)
423	disaster	灾难， 灾祸， 天灾； 彻底的失败 (n.)
424	ecology	生态； 生态学 (n.)
425	minimal	最小的， 最低限度的 (adj.)
426	cocktail	鸡尾酒； 餐前开胃小吃； 混合物 (n.)
427	enhance	提高， 增加， 加强 (vt.)
428	convention	习俗， 惯例； 公约； 会议 (n.)
429	disease	病， 疾病； 不健全， 弊端 (n.)
430	calcium	钙 (n.)
431	notwithstanding	尽管 (adv.)
432	suspicion	怀疑， 疑心， 猜疑； 一点儿， 少量 (n.)
433	purchase	买，购买 (vt.)
434	refusal	拒绝 (n.)
435	disposable	可任意使用的 (adj.)
436	bypass	旁道，迂回道 (n.)
437	silicon	硅 (n.)
438	clarity	清楚， 明晰 (n.)
439	fund	资金，基金；存款 (n.)
440	typical	典型的， 有代表性的 (adj.)
441	recipient	接受者， 接收者 (n.)
442	commonwealth	[C-]英联邦； 联邦， 联合体 (n.)
443	watt	瓦 (n.)
444	buzz	发出嗡嗡声；忙乱，急行；发出嘈杂的谈话声 (vi.)
445	finance	财政，金融；财源，财务情况 (n.)
446	incur	招致， 引起； 遭受 (vt.)
447	notorious	臭名昭著的， 声名狼藉的 (adj.)
448	assassination	刺杀， 暗杀 (n.)
449	infant	婴儿的， 幼稚的 (adj.)
450	gland	腺 (n.)
451	premise	房屋和地基， 经营场址； 前提， 假设 (n.)
452	circus	马戏， 马戏团； 喧闹的场面； 环形广场 (n.)
453	controversial	引起争论的， 有争议的 (adj.)
454	attain	达到， 获得； 完成 (vt.)
455	deprive	剥夺， 使丧失 (vt.)
456	tenant	房客， 佃户 (n.)
457	resultant	作为结果的， 因而发生的 (adj.)
458	pest	有害生物， 害虫； 讨厌的人 (n.)
459	pedal	踩踏板，骑车 (vi.)
460	batter	连续猛击 (v.)
461	heritage	遗产； 继承物； 传统 (n.)
462	supreme	最高的， 最大的； 极度的， 最重要的 (adj.)
463	hostage	人质 (n.)
464	priority	优先， 重点； 优先考虑的事 (n.)
465	slope	倾斜 (v.)
466	inlet	小湾， 水湾； 进口， 入口 (n.)
467	metallic	金属的， 金属制的； 有金属特性的， 像金属的 (adj.)
468	shuttle	穿梭般来回 (vi.)
469	regenerate	新生， 再生， 起革新作用 (vi.)
470	allocate	分配； 分派， 把…拨给 (vt.)
471	latent	潜在的， 隐伏的， 不易察觉的 (adj.)
472	terrific	极妙的； 极大的； 令人恐惧的 (adj.)
473	standpoint	立场， 观点 (n.)
474	primary	首要的， 主要的； 基本的； 最初的， 初级的 (adj.)
475	pirate	非法盗印者，侵犯版权者；海盗 (n.)
476	stubborn	顽固的， 执拗的， 倔强的； 难对付的， 难于克服的 (adj.)
477	formulate	构想出， 规划； 系统地阐述 (vt.)
478	consume	消灭， 毁灭 (vi.)
479	dome	圆屋顶， 穹顶 (n.)
480	layer	层， 层次 (n.)
481	alien	外国的，外国人的；陌生的；性质不同的，不相容的 (adj.)
482	competence	能力， 胜任， 称职 (n.)
483	fuse	熔合， 合并； 因保险丝熔断而中断工作 (v.)
484	elite	[总称] 上层人士， 掌权人物， 实力集团； [总称]出类拔萃的人， 精英 (n.)
485	premium	高级的，优质的；售价高的 (adj.)
486	ornament	装饰品，点缀品；装饰，点缀 (n.)
487	assure	使确信； 确保， 向…保证 (vt.)
488	pretext	借口， 托辞 (n.)
489	ivory	象牙； 象牙色， 乳白色 (n.)
490	theme	主题， 题目 (n.)
491	consult	请教； 查阅； 商议 (vt.)
492	solidarity	团结一致 (n.)
493	tumble	跌倒，摔下，滚下；翻滚；暴跌；不由自主地卷入 (vi.)
494	gracious	亲切的，和蔼的；优美的；雅致的，雍容华贵的 (adj.)
495	smash	猛撞，猛冲 (vi.)
496	merely	仅仅， 只不过 (adv.)
497	appropriation	据为己有， 占有； 挪用； 拨款 (n.)
498	contradiction	矛盾， 不一致； 否认， 反驳 (n.)
499	wealth	财富； 财产； 丰富 (n.)
500	henceforth	从今以后， 从此以后 (adv.)
501	wallet	皮夹子 (n.)
502	survive	活下来，继续存在；幸免于 (vi.)
503	desire	想要，渴望 (vt.)
504	initial	最初的，开始的 (adj.)
505	efficient	效率高的； 有能力的 (adj.)
506	murmur	小声说； 小声抱怨， 咕哝； 发出连续而低沉的声音 (n&v.)
507	fury	狂怒， 暴怒； 狂暴， 狂烈 (n.)
508	unify	使联合， 统一； 使相同， 使一致 (vt.)
509	muddy	泥泞的，沾满烂泥的；灰暗的，暗淡的；模糊的，糊涂的 (adj.)
510	hound	猎犬 (n.)
511	interaction	相互作用 (n.)
512	consistent	坚持的， 一贯的； 一致的， 符合的 (adj.)
513	dole	救济，救济金 (n.)
514	reverse	反向，倒转 (vi.)
515	barren	贫瘠的， 荒芜的； 不结果实的， 不育的； 无益的， 没有结果的 (adj.)
516	eternal	永久的， 永世的； 无休止的； 永恒的， 永不改变的 (adj.)
517	permanent	永久的， 固定的 (adj.)
518	foster	收养的 (adj.)
519	barely	仅仅， 只不过， 几乎不 (adv.)
520	prevalent	流行的， 普遍的 (adj.)
521	cling	紧紧抓住； 黏着， 挨近； 依附， 依恋； 坚持， 墨守， 忠实于 (vi.)
522	incidence	发生率 (n.)
523	clip	夹子，回形针，别针；弹夹，弹仓；剪，修剪；剪报，电影片断 (n.)
524	beam	面露喜色； 定向发出， 播送 (v.)
525	compact	紧凑的，小巧的；坚实的 (adj.)
526	alliance	结盟； 联盟 (n.)
527	invaluable	非常宝贵的， 极为贵重的， 无价的 (adj.)
528	fiction	小说； 虚构， 杜撰 (n.)
529	doom	注定，命定 (vt.)
530	cucumber	黄瓜 (n.)
531	aviation	航空， 航空学； 飞机制造业 (n.)
